comment,category,score,location/geoinformation,routines,contactinfo
our go-to quiet spot under the arches,location/geoinformation,5,1,0,0
miss this path after football last fall,routines,6,0,1,0
used to drop my bro at this corner for classes,routines,5,0,1,0
i think my shadow's in this clip lol,location/geoinformation,7,1,0,0
saw that mural walking to the city market,routines,5,0,1,0
always go for donuts here after gym,routines,5,0,1,0
our lunchtime walk always ends here,routines,5,0,1,0
photoshoot spot for our class last year,routines,5,0,1,0
always start my jog from here,routines,6,0,1,0
short walk from my block to this spot,location/geoinformation,7,1,0,0
morning shift meetings inside this cafe,routines,5,0,1,0
soccer crew hangs here after matches,routines,5,0,1,0
wait this is near my fav walking bridge?,location/geoinformation,6,1,0,0
"love this park, right by my route to school",location/geoinformation,7,1,0,0
seen your bike parked here before,location/geoinformation,6,1,0,0
always see that trash can on my walk home,routines,4,0,1,0
take the 4th street route to get here always,routines,5,0,1,0
riding past this mural every morning lately,routines,5,0,1,0
yo is that the bandstand in river park?,location/geoinformation,5,1,0,0
where my summer camp met every july,routines,5,0,1,0
lol my sis's car in this video,location/geoinformation,7,1,0,0
was there for lunch right before you filmed,routines,5,0,1,0
waited for my Uber by this tree last night,location/geoinformation,6,1,0,0
old gang hangout under those stairs lol,location/geoinformation,6,1,0,0
library courtyard always packed at noon,routines,5,0,1,0
our marching band always starts from here,routines,5,0,1,0
ride the elevator here for drama club practices,routines,5,0,1,0
snack cart at this corner is my fav,location/geoinformation,5,1,0,0
used the same bench for lunch all year,routines,6,0,1,0
pass that street sign before school daily,routines,5,0,1,0
parking lot by gym always full after 6pm,routines,6,0,1,0
pic from inside my shop window! omg,location/geoinformation,9,1,0,0
sunday runs on this path are a must,routines,5,0,1,0
recognize the neon sign from my fav cafe,location/geoinformation,5,1,0,0
film club always meets behind this statue,routines,5,0,1,0
sitting on the same brick wall as last week,routines,4,0,1,0
waited at this platform for years lol,routines,7,0,1,0
this my usual cab drop after sports,routines,5,0,1,0
see me walking back here after chess every tuesday,routines,5,0,1,0
pass this mural on my walk to the store,routines,5,0,1,0
ya that's my neighbour’s garden lol,location/geoinformation,8,1,0,0
teacher’s lounge by this window is my spot,routines,5,0,1,0
bus ride home always passes this corner,routines,5,0,1,0
train station roof looks just like mine,location/geoinformation,6,1,0,0
get late night snacks from this place all term,routines,5,0,1,0
"where the crew meets after lab, classic",routines,5,0,1,0
park bench been mine since 2nd grade,routines,6,0,1,0
you always post during your runs here,routines,5,0,1,0
grab lunch at this food truck after school,routines,5,0,1,0
waited in that stairwell for every fire drill,routines,5,0,1,0
that is literally my mailbox in the shot bruh,location/geoinformation,9,1,0,0
class meets under this tree on sunny days,routines,5,0,1,0
bus route 24 is my daily curse,routines,6,0,1,0
break from work at this coffee hut always,routines,5,0,1,0
old debate team meet spot inside lobby,routines,5,0,1,0
saw your dog at this park last weekend 🐾,location/geoinformation,5,1,0,0
i lunch on this bench every Tuesday,routines,6,0,1,0
friend’s house is next to this corner,location/geoinformation,6,1,0,0
study group meets on this rooftop every night,routines,6,0,1,0
was gonna walk through here after class,routines,5,0,1,0
where I always bus to my job lol,routines,6,0,1,0
ride this elevator to the art studio anyway,routines,5,0,1,0
"corner with the bakery, my walk home staple",routines,5,0,1,0
this booth at lunch is my lucky charm,routines,5,0,1,0
used to walk home with my buddy right here,routines,6,0,1,0
your window is in the background right,location/geoinformation,8,1,0,0
skate shop below my cousin’s place lol,location/geoinformation,6,1,0,0
see u at the café right after your lecture?,routines,4,0,1,0
police station at this corner always on my route,location/geoinformation,6,1,0,0
bus always stuck outside here after club,routines,5,0,1,0
ditch class for donuts here sometimes,routines,5,0,1,0
snacks at this cart before orchestra practice,routines,5,0,1,0
class always by this window after lunch,routines,4,0,1,0
the last stop on my daily train ride,routines,7,0,1,0
always see your shadow in videos at this stop,location/geoinformation,5,1,0,0
riding the 5pm shuttle from this gate every day,routines,6,0,1,0
that lamp post is basically my landmark,location/geoinformation,5,1,0,0
parking on 1st is my daily struggle too,routines,6,0,1,0
always meet my ride at this roundabout,routines,5,0,1,0
